1         1           59	 2	-11  71.0	-11  67.1	3	 1	118.7	 174.4
1        17         1691	 2	+11  66.9	+11  35.4	6	 3	325.4	 613.7
1        35         3417	 2	+11  78.4	+11  57.7	4	 2	345.9	 455.0
1        47         4687	 2	+11 206.0	+11 107.7	8	 0	307.2	1079.5
1        52         5109	 2	-11  49.0	-11  32.1	8	 2	331.2	 915.4
1        52         5154	 2	+11  54.4	+11  39.8	7	 2	260.1	 809.7
1        60         5935	 2	+11  45.1	+11  29.4	8	 2	512.3	1073.1
1        75         7447	 2	+11  59.3	+11  46.3	4	 1	121.8	 422.4
1        82         8161	 3	-11  53.4	-11  42.9	4	 3	 76.6	 296.9
1        84         8387	 2	+11  64.2	+11  42.8	5	 3	 97.1	 343.6
1       105        10424	 3	-11 102.1	-11  72.9	2	 1	220.5	 168.6
1       147        14663	 2	+11  96.7	+11  38.0	6	 1	 80.8	 602.7
1       170        16946	 2	-11  76.8	-11  31.9	7	 1	153.1	1179.4
1       223        22253	 2	+11  61.9	+11  54.1	2	 1	 67.5	 117.6
1       225        22499	 3	-11  63.1	-11  41.4	6	 1	221.6	 475.1
1       355        35426	 2	+11  53.3	+11  44.1	4	 1	186.7	 292.6
1       359        35823	 3	+11  59.4	+11  54.0	3	 3	 91.1	 207.1
1       365        36410	 2	-11  62.6	-11  57.5	5	 2	 51.0	 248.9
1       367        36667	 2	-11  58.4	-11  58.1	5	 2	161.5	 278.7
1       369        36871	 2	-11  78.9	-11  61.6	4	 2	130.7	 379.8
1       375        37407	 2	+11  51.0	+11  26.2	6	 2	146.3	 445.3
1       390        38915	 2	-11  54.5	-11  37.5	8	 1	334.8	 564.8
1       409        40802	 3	+11 101.8	+11  37.9	5	 1	222.8	 541.1
1       415        41456	 3	-11 123.9	-11  49.7	4	 1	 47.9	 283.7
1       420        41973	 2	+11 102.6	+11  91.3	7	 3	106.3	 478.1
1       511        51045	 4	+11  52.2	+11  27.3	3	 1	 72.2	 351.7
1       517        51646	 3	+11 100.1	+11  70.5	2	 1	 66.3	 150.4
1       556        55581	 3	+11  70.9	+11  40.1	4	 3	217.9	 263.8
1       558        55727	 2	+11  51.6	+11  33.3	4	 1	137.6	 266.5
1       570        56951	 2	-11  33.5	-11  26.6	5	 1	 64.0	 303.0
1       571        57031	 2	+11  92.8	+11  85.9	4	 3	387.0	 510.3
1       602        60147	 3	-11  51.2	-11  32.0	5	 3	194.6	 272.1
1       605        60488	 4	+11  65.9	+11  41.8	2	 1	 38.3	 113.2
1       625        62463	 4	-11 118.2	-11  71.8	3	 1	108.8	 206.5
1       628        62779	 2	+11  79.3	+11  39.4	5	 0	100.7	 278.7
1       669        66819	 3	-11  67.6	-11  42.5	6	 3	729.9	1289.3
1       672        67115	 2	+11 105.9	+11  53.2	5	 1	340.1	1221.3
1       752        75123	 2	-11  63.4	-11  49.5	5	 1	471.3	 713.9
1       770        76926	 2	+11  52.2	+11  29.7	5	 2	127.1	 279.5
1       774        77311	 2	+11  53.9	+11  43.3	7	 3	161.2	 511.6
1       787        78625	 2	-11 130.3	-11  58.6	6	 4	 63.7	 546.6
1       794        79337	 2	-11  55.7	-11  54.9	9	 0	136.4	 838.8
1       832        83133	 3	+11  63.8	+11  30.7	5	 1	193.3	 523.4
1       860        85969	 2	-11  38.2	-11  27.8	7	 1	126.8	 452.6
1       862        86200	 2	+11  89.6	+11  73.5	4	 4	132.9	 446.3
1       892        89126	 3	+11  59.7	+11  33.9	7	 0	212.8	 670.6
1      1040       103915	 3	-11  69.7	-11  28.8	3	 2	204.7	 256.9
1      1057       105651	 2	+11  54.7	+11  45.6	4	 1	115.7	 318.1
1      1060       105912	 3	+11 128.1	+11  71.1	3	 1	 61.1	 242.0
1      1077       107673	 3	+11  45.6	+11  35.1	4	 3	 89.0	 253.5
1      1088       108738	 2	-11  31.8	-11  25.6	3	 1	104.6	 204.1
1      1121       112084	 2	+11  43.4	+11  27.9	4	 3	 75.6	 290.2
1      1140       113947	 2	+11  69.6	+11  44.9	3	 3	 85.6	 324.7
1      1196       119596	 2	+11 401.3	+11  40.7	8	 5	288.2	 827.0
1      1207       120656	 2	+11  43.2	+11  37.0	5	 1	 55.3	 279.4
1      1237       123680	 2	+11  55.0	+11  35.3	5	 2	 52.8	 461.7
1      1258       125755	 3	-11  69.0	-11  30.7	8	 1	367.6	1134.2
1      1262       126193	 2	-11 108.0	-11  34.6	5	 2	491.2	 694.6
1      1273       127209	 2	+11 116.7	+11  93.0	6	 2	350.6	1136.2
1      1274       127355	 2	-11  85.2	-11  45.7	3	 0	167.1	 193.7
1      1287       128642	 3	+11  44.5	+11  27.1	5	 2	 53.9	 613.4
1      1288       128710	 2	-11  43.8	-11  42.8	3	 2	 94.6	 210.5
1      1301       130026	 2	+11 183.8	+11 105.5	4	 3	127.4	 413.5
1      1312       131183	 3	-11  63.6	-11  62.8	11	 3	436.1	1745.2
1      1313       131249	 2	+11  59.5	+11  54.1	4	 3	121.8	 284.6
1      1337       133683	 3	-11  99.2	-11  81.1	3	 2	 71.5	 180.4
1      1353       135203	 2	+11  53.0	+11  45.4	3	 2	288.3	 780.9
1      1353       135210	 2	+11  88.0	+11  55.2	6	 2	 77.7	 633.0
1      1375       137408	 2	-11 137.0	-11  67.6	3	 2	141.4	 396.7
1      1381       138046	 2	+11  59.5	+11  33.7	5	 3	158.8	 351.3
1      1383       138248	 2	-11 197.2	-11  66.3	4	 0	289.1	 264.4
1      1456       145512	 3	+11 110.6	+11  50.5	3	 3	148.2	 212.5
1      1462       146191	 3	+11 209.6	+11  70.3	4	 3	153.6	 370.2
1      1468       146727	 4	+11  61.0	+11  37.0	2	 2	132.2	 180.3
1      1576       157515	 2	+11  50.1	+11  27.1	5	 1	518.3	1044.0
1      1577       157694	 2	-11  79.7	-11  32.2	5	 1	 76.6	 456.5
1      1591       159064	 3	+11  97.6	+11  26.0	2	 2	 52.7	 184.8
1      1595       159441	 2	+11 212.8	+11  42.7	6	 0	206.2	 374.5
1      1852       185137	 2	+11  86.5	+11  75.0	4	 4	147.0	 285.3
1      1896       189511	 2	+11 145.2	+11  76.6	4	 4	 52.8	 489.0
1      1918       191772	 3	-11  73.7	-11  66.0	3	 2	 53.2	 266.6
1      1942       194102	 2	-11  76.5	-11  71.8	5	 2	587.0	1252.7
1      1952       195124	 2	+11  78.7	+11  47.2	7	 2	 94.8	 585.8
1      2031         3025	 3	-11  41.3	-11  37.4	4	 2	331.0	 296.6
1      2036         3591	 2	-11  28.1	-11  27.1	3	 2	151.5	 305.4
1      2077         7682	 3	+11  66.8	+11  45.7	3	 0	 36.4	 213.7
1      2098         9734	 2	-11  47.2	-11  42.5	5	 2	 71.7	 464.0
1      2102        10196	 3	-11  36.9	-11  35.4	5	 1	243.4	 386.5
1      2112        11159	 2	+11 270.1	+11  89.9	6	 1	207.5	 617.5
1      2129        12877	 3	+11  56.9	+11  31.1	5	 1	 36.9	 397.6
1      2150        14989	 2	-11  70.8	-11  44.8	9	 1	280.0	 629.2
1      2167        16621	 3	+11  83.5	+11  62.9	3	 1	124.9	 171.3
1      2172        17199	 3	+11  52.7	+11  48.4	4	 0	 58.6	 214.3
1      2226        22595	 2	+11  62.0	+11  27.6	3	 2	 68.1	 322.7
1      2232        23116	 2	-11  96.6	-11  34.7	4	 1	 45.2	 319.8
1      2264        26333	 4	+11  38.5	+11  26.7	3	 1	 86.1	 282.5
1      2421        42053	 3	+11  73.9	+11  27.1	3	 2	273.2	 350.6
1      2439        43832	 3	+11  58.7	+11  35.8	3	 2	253.8	 345.8
1      2440        43976	 2	+11  98.1	+11  41.3	3	 1	158.1	 210.3
1      2454        45323	 2	-11  73.8	-11  46.5	3	 1	107.8	 228.7
1      2458        45781	 2	-11 150.4	-11  62.0	6	 1	122.7	 596.5
1      2466        46534	 3	+11 103.8	+11  47.4	4	 2	 84.2	 311.5
1      2474        47387	 5	-11  89.6	-11  26.6	2	 1	 57.9	 140.6
1      2480        47907	 3	+11  71.6	+11  49.7	6	 3	331.4	 632.4
1      2480        47987	 2	-11  86.1	-11  29.7	6	 2	324.7	 686.7
1      2489        48803	 3	-11  94.0	-11  66.8	3	 2	112.8	 220.5
1      2515        51440	 2	-11 124.7	-11  31.6	3	 1	526.8	 627.3
1      2519        51806	 2	-11  90.4	-11  33.9	5	 3	288.6	 538.1
1      2584        58386	 3	-11  84.2	-11  57.7	4	 1	 87.3	 223.5
1      2616        61571	 3	+11 146.9	+11  58.8	2	 1	 86.9	 139.0
1      2619        61804	 2	+11  63.3	+11  57.5	6	 4	301.2	 701.9
1      2679        67810	 4	-11  42.1	-11  32.1	2	 2	259.9	 255.6
1      2679        67878	 2	-11  43.4	-11  30.9	8	 3	432.3	1774.5
1      2730        72999	 2	-11  88.5	-11  38.1	3	 2	198.9	 350.0
1      2758        75734	 2	-11  91.2	-11  40.2	5	 0	246.2	 362.2
1      2793        79274	 3	+11  63.4	+11  27.6	7	 4	262.9	 491.0
1      2794        79304	 3	+11  44.3	+11  42.0	4	 1	239.5	 529.6
1      2800        79976	 2	-11  75.0	-11  25.4	5	 1	372.1	 816.9
1      2829        82839	 3	+11  89.7	+11  79.9	4	 3	198.2	 330.4
1      2837        83686	 2	+11  72.2	+11  61.9	7	 4	543.6	1490.5
1      2851        85049	 2	-11 122.4	-11  29.5	9	 3	247.9	1009.3
1      2855        85490	 2	-11  47.4	-11  39.2	5	 3	101.1	 415.4
1      2863        86287	 2	-11  94.8	-11  48.0	5	 3	133.4	 304.3
1      2866        86531	 2	-11  40.9	-11  40.3	6	 1	238.8	 740.0
1      2883        88284	 3	+11  85.5	+11  61.2	3	 3	294.0	 438.2
1      2915        91414	 3	+11 147.6	+11 101.9	6	 1	377.5	1310.7
1      2936        93568	 3	-11  33.3	-11  25.9	3	 1	 46.7	 267.4
1      2941        94006	 4	-11  73.9	-11  54.2	9	 1	157.3	 993.2
1      2941        94034	 3	+11  67.2	+11  32.1	5	 0	336.6	 462.7
1      2947        94675	 3	-11  95.7	-11  28.7	2	 1	141.3	 194.2
1      2948        94770	 2	+11  36.0	+11  25.0	7	 1	1195.8	1703.2
1      2952        95174	 2	+11  52.8	+11  28.7	3	 2	 98.4	 396.8
1      2958        95766	 2	-11  86.9	-11  29.4	6	 3	 72.7	 523.1
1      3048       104759	 2	+11 102.6	+11  65.6	4	 3	135.6	 334.0
1      3101       110030	 3	-11  79.1	-11  61.1	7	 3	159.7	 733.1
1      3124       112329	 2	+11  51.3	+11  33.8	9	 5	234.1	1560.0
1      3124       112347	 3	-11  46.1	-11  34.6	5	 2	181.1	 632.0
1      3149       114801	 3	-11  71.5	-11  57.4	4	 2	190.0	 380.0
1      3157       115646	 3	+11 109.5	+11  38.2	5	 2	 98.6	 502.5
1      3281       128058	 2	-11 168.2	-11  73.6	4	 2	154.9	 409.8
1      3287       128651	 3	-11 112.9	-11  54.1	4	 0	143.0	 252.8
1      3359       135831	 4	-11  64.1	-11  45.3	4	 3	342.3	 843.2
1      3363       136244	 2	-11  71.3	-11  61.8	5	 3	 93.1	 345.7
1      3374       137310	 2	-11  39.5	-11  29.4	4	 2	143.9	 283.5
1      3374       137367	 3	+11  54.8	+11  53.7	3	 0	153.0	 196.0
1      3380       137913	 2	-11  56.6	-11  41.8	5	 1	300.2	 380.3
1      3394       139332	 4	+11  64.1	+11  46.9	3	 2	 90.1	 218.6
1      3396       139547	 2	-11 101.6	-11  62.3	5	 2	189.6	 391.1
1      3397       139637	 3	-11  39.2	-11  31.0	3	 1	678.1	 938.4
1      3453       145226	 3	-11 118.9	-11  38.3	4	 1	248.7	 514.0
1      3507       150681	 2	-11  82.6	-11  33.4	4	 3	120.5	 254.9
1      3518       151726	 3	-11  88.4	-11  44.8	4	 2	 34.9	 342.3
1      3520       151980	 2	-11 161.3	-11  60.7	2	 0	 58.3	 280.7
1      3598       159722	 3	+11 182.2	+11  28.6	6	 1	140.2	 596.7
1      3604       160351	 2	-11 176.8	-11  32.9	4	 2	168.5	 402.2
1      3609       160853	 2	-11  68.1	-11  26.4	4	 1	 96.0	 399.3
1      3610       160911	 2	-11 129.2	-11  55.1	6	 4	170.6	 614.0
1      3643       164300	 2	+11  48.2	+11  29.6	7	 2	247.8	 563.9
1      3689       168879	 2	+11  87.1	+11  43.5	8	 1	110.9	1539.4
1      3978       197782	 2	+11  90.2	+11  48.1	6	 4	 72.8	 364.5
1      4052         5129	 3	-11  43.0	-11  42.3	3	 3	158.5	 170.9
1      4052         5146	 2	+11 147.1	+11  74.7	5	 2	225.1	 492.6
1      4092         9111	 2	+11 146.8	+11  34.5	6	 4	 41.7	 505.1
1      4095         9478	 2	+11  83.9	+11  57.0	6	 3	540.8	 675.3
1      4182        18188	 4	-11  66.6	-11  64.0	3	 1	243.1	 355.6
1      4207        20672	 3	+11  49.5	+11  27.1	4	 3	 84.8	 268.4
1      4275        27466	 4	-11  67.0	-11  47.4	2	 1	106.8	 146.3
1      4422        42108	 2	-11 177.3	-11  84.4	4	 1	111.5	 228.5
1      4574        57347	 2	-11  82.2	-11  50.4	7	 2	 52.3	 654.1
1      4600        59910	 2	-11  60.3	-11  31.7	6	 1	118.7	 511.4
1      4641        64052	 2	+11  42.3	+11  39.3	5	 1	159.6	 351.8
1      4643        64238	 2	+11 108.0	+11  36.9	5	 2	456.5	 720.8
1      4643        64296	 2	+11  96.4	+11  80.1	4	 2	 99.8	 453.7
1      4644        64392	 3	-11 109.3	-11  30.4	5	 2	694.3	1192.8
1      4653        65247	 2	-11  54.1	-11  30.2	4	 0	157.6	 329.6
1      4669        66893	 3	-11  75.0	-11  31.8	6	 4	 96.3	 458.3
1      4677        67640	 2	+11  48.9	+11  37.1	4	 3	177.1	 297.3
1      4678        67777	 3	+11  66.4	+11  28.8	5	 3	195.4	 468.8
1      4747        74665	 3	-11  75.2	-11  38.7	4	 2	155.7	 221.5
1      4752        75145	 2	-11  49.1	-11  45.5	7	 3	268.7	 525.3
1      4753        75217	 3	-11  71.2	-11  35.8	4	 1	287.3	 375.9
1      4756        75533	 3	-11  66.7	-11  54.6	4	 1	 33.4	 311.5
1      4766        76579	 2	+11  70.5	+11  43.3	6	 3	273.1	 505.5
1      4770        76986	 3	+11  45.8	+11  28.5	3	 3	209.0	 214.6
1      4784        78364	 2	+11  60.8	+11  56.7	7	 2	170.0	 450.1
1      4792        79154	 3	+11  58.6	+11  44.4	7	 1	 60.0	 707.6
1      4827        82697	 2	-11  41.3	-11  38.8	2	 1	101.0	 152.4
1      4843        84241	 4	-11  85.2	-11  66.4	3	 1	229.4	 354.7
1      4843        84299	 4	-11  50.0	-11  33.4	3	 1	118.2	 203.2
1      4844        84315	 2	-11  60.6	-11  49.7	5	 2	 72.7	 475.2
1      4857        85658	 2	-11  37.1	-11  30.8	5	 3	159.2	 340.5
1      4879        87878	 3	+11 160.6	+11 149.0	7	 0	549.4	1657.9
1      4945        94418	 2	-11 103.3	-11  89.0	4	 2	228.4	 577.1
1      4952        95122	 3	+11  41.1	+11  28.2	6	 1	370.1	 586.1
1      4981        98006	 3	-11  72.8	-11  51.4	3	 3	200.9	 275.5
